"market","dc","old_voltage","new_voltage"
PJM,DOM,LAL,Secondary
PJM,PECO,LAL,Secondary
PJM,CSPC,LAL,Secondary
NEISO,CMP,LAL,Secondary
NEISO,COME,LAL,Secondary
NYISO,NYOR,LAL,Secondary
PJM,TE,LAL,Secondary
PJM,BGE,LAL,Secondary
PJM,PENELEC,LAL,Secondary
PJM,PEPCODC,LAL,Secondary
PJM,PSEG,LAL,Secondary
NEISO,BED,LAL,Secondary
NEISO,CAMB,LAL,Secondary
PJM,DPLDE,LAL,Secondary
NEISO,CLP,LAL,Secondary
PJM,PP,LAL,Secondary
PJM,MET,LAL,Secondary
NYISO,LIPA,LAL,Secondary
NYISO,CHGE,LAL,Secondary
NYISO,RGE,LAL,Secondary
PJM,RECO,LAL,Secondary
PJM,AECO,LAL,Secondary
PJM,APPA,LAL,Secondary
PJM,JCPL,LAL,Secondary
PJM,OPC,LAL,Secondary
NEISO,GSE,LAL,Secondary
NEISO,UES,LAL,Secondary
NEISO,MSEL,LAL,Secondary
PJM,CGE,LAL,Secondary
PJM,CEI,LAL,Secondary
PJM,DPL,LAL,Secondary
PJM,DPLMD,LAL,Secondary
PJM,PEPCOMD,LAL,Secondary
NEISO,NECO,LAL,Secondary
NEISO,PSNH,LAL,Secondary
NEISO,NANEL,LAL,Secondary
NEISO,UI,LAL,Secondary
PJM,MET,HVA,Primary
PJM,OPC,HVA,Primary
NYISO,CHGE,HVA,Primary
PJM,DQE,HVA,Primary
PJM,JCPL,HVA,Primary
PJM,PSEG,HVA,Primary
NEISO,GSE,HVA,Primary
NYISO,NYOR,HVA,Primary
NYISO,RGE,HVA,Primary
PJM,TE,HVA,Primary
PJM,PP,HVA,Primary
NEISO,NHEC,HVA,Primary
NEISO,BED,HVA,Primary
NEISO,MWST,HVA,Primary
NEISO,UI,HVA,Primary
PJM,CEI,HVA,Primary
PJM,RECO,HVA,Primary
PJM,AECO,HVA,Primary
PJM,PECO,HVA,Primary
NEISO,NECO,HVA,Primary
NEISO,CLP,HVA,Primary
NYISO,NYSEG,HVA,Primary
PJM,APMD,HVA,Primary
NEISO,UES,HVA,Primary
NEISO,CAMB,HVA,Primary
NEISO,NANEL,HVA,Primary
NYISO,NIMO,HVA,Primary
PJM,BGE,HVA,Primary
PJM,DPLDE,HVA,Primary
PJM,PEPCODC,HVA,Primary
NEISO,BHE,HVA,Primary
PJM,APPA,HVA,Primary
PJM,DPLMD,HVA,Primary
PJM,PPL,HVA,Primary
NEISO,CMP,HVA,Primary
NEISO,COME,HVA,Primary
NEISO,FITCH,HVA,Primary
NEISO,MSEL,HVA,Primary
NYISO,CONE,HVA,Primary
PJM,DOM,HVA,Primary
PJM,COMED,HVA,Primary
PJM,PENELEC,HVA,Primary
PJM,PEPCOMD,HVA,Primary
PJM,CSPC,HVA,Primary
NEISO,PSNH,HVA,Primary
PJM,CGE,HVA,Primary
PJM,DPL,HVA,Primary
PJM,OE,LAL,V1
PJM,OE,HVA,V2
PJM,OE,Subtransmission,V3
PJM,OE,SUBT,V3
PJM,OE,TRA,V4
